Expemt #,Type,Temperature,Water to Rock,FeCl2,MgCl2,NaCl,NaHCO3,Surfactant,NiCl2,CuCl2,NaOH,H2,H2_corr,
1,Initialization,29.5,16.89655172,0.174,0.6,1.36,4.9,0.1,0.002,0.001,1.8975,34,56.79988082,1
2,Initialization,29.5,15.78313253,0.166,0.64,6.4,4.6,0.0925,0.0019,0.0005,0.605,31,51.00723132,
3,Initialization,29.5,32.1,0.2,0.5,3.4,4.7,0.03,0.00025,0.00115,0.0825,25,41.12201896,
4,Initialization,29.5,53.20512821,0.156,0.71,6,2.6,0.03,0.0003,0.0013,0.605,58,78.70251128,4
5,Initialization,29.5,47.59259259,0.108,0.023,8,3.8,0.0175,0.0015,0.00115,1.5675,35,54.00888224,
6,Initialization,29.5,31.86046512,0.172,0.26,6,3.7,0.0375,0.00185,0.00155,1.1825,63,94.89679836,6
7,Initialization,29.5,37.5,0.184,0.67,7.6,2.7,0.045,0.0017,0.00155,0.0275,30,40.61358688,
8,Initialization,29.5,74.09638554,0.166,0.035,3.76,1.4,0.07,0.00055,0.00175,0.385,69,81.78061548,8
9,Initialization,29.5,57.20430108,0.186,0.0071,4.8,2.2,0.0075,0.00025,0.0011,1.5675,100,130.8989082,9
10,Initialization,29.5,35.27027027,0.148,0.47,3.76,4.6,0.045,0.0019,0.0001,0.7975,68,111.7029414,
11,Initialization,57.5,69.75903614,0.166,0.069,4.8,1.3,0.0725,0.0004,0.00075,1.155,11514,13579.90409,11
12,Initialization,57.5,78.30769231,0.13,0.11,8.4,1.2,0.05,0.00025,0.00095,1.2925,2666,3107.100639,
13,Initialization,57.5,32.63736264,0.182,0.36,3.16,4.5,0.0175,0.0017,0.001,1.0175,80,129.6561713,
14,Initialization,57.5,61.44927536,0.138,0.6,2.64,3,0.055,0.0008,0.00125,0.825,105,148.8507902,
15,Initialization,57.5,127.1929825,0.114,0.75,0.92,0.7,0.03,0.00085,0.002,0.165,160,175.6036024,
16,Initialization,57.5,74.1,0.2,0.62,0.332,0.4,0.0125,0.0016,0.0018,0.99,3049,3217.390799,
