Temp,FeCl2,MgCl2,NaCl,NaHCO3,Surfactant,NiCl2,CuCl2,NaOH,H2
29.5,0.174,0.6,1.36,4.9,0.1,0.002,0.001,1.8975,34
29.5,0.166,0.64,6.4,4.6,0.0925,0.0019,0.0005,0.605,31
29.5,0.2,0.5,3.4,4.7,0.03,0.00025,0.00115,0.0825,25
29.5,0.156,0.71,6,2.6,0.03,0.0003,0.0013,0.605,58
29.5,0.108,0.023,8,3.8,0.0175,0.0015,0.00115,1.5675,35
29.5,0.172,0.26,6,3.7,0.0375,0.00185,0.00155,1.1825,63
29.5,0.184,0.67,7.6,2.7,0.045,0.0017,0.00155,0.0275,30
29.5,0.166,0.035,3.76,1.4,0.07,0.00055,0.00175,0.385,69
29.5,0.186,0.0071,4.8,2.2,0.0075,0.00025,0.0011,1.5675,100
29.5,0.148,0.47,3.76,4.6,0.045,0.0019,0.0001,0.7975,68
57.5,0.166,0.069,4.8,1.3,0.0725,0.0004,0.00075,1.155,11514
57.5,0.13,0.11,8.4,1.2,0.05,0.00025,0.00095,1.2925,2666
57.5,0.182,0.36,3.16,4.5,0.0175,0.0017,0.001,1.0175,80
57.5,0.138,0.6,2.64,3,0.055,0.0008,0.00125,0.825,105
57.5,0.114,0.75,0.92,0.7,0.03,0.00085,0.002,0.165,160
57.5,0.2,0.62,0.332,0.4,0.0125,0.0016,0.0018,0.99,3049
57.5,0.2,0.15,0.76,2.4,0.0975,0.00005,0.001,2.0625,1185
57.5,0.19,0.79,5.6,4.4,0.0525,0.00125,0.00095,0.1925,160
57.5,0.2,0.51,3.64,4.8,0.0375,0.00015,0.00135,0.77,49
57.5,0.138,0.61,7.6,4.4,0.07,0.00015,0.00095,1.6225,52
90,0.132,0.73,1.76,4.1,0.0175,0.00105,0.00005,1.65,536
90,0.18,0.068,7.6,3.8,0.04,0.0001,0.0019,1.595,62
90,0.13,0.69,6,2.1,0.04,0.0018,0.00155,0.825,673
90,0.114,0.61,3.2,3.2,0.02,0.00025,0.00105,1.925,753
90,0.156,0.41,0.52,0.76,0.0775,0.00085,0.0004,0.6325,2551
90,0.122,0.79,1.04,0.1,0.07,0.00035,0.0009,1.21,1516
90,0.15,0.74,1.68,2.8,0.075,0.00105,0.00195,1.8975,4537
90,0.1,0.2,5.6,3.6,0.095,0.0001,0.00135,0.275,975
90,0.16,0.57,1.12,3.4,0.0025,0.0003,0.00065,1.155,292
90,0.138,0.54,0.376,0.63,0.0675,0.0016,0.0017,0.66,1782
67.9,0.162,0.097,4.36,1.19,0.0715,0.000445,0.000755,1.14675,2351
67.9,0.168,0.061,4.952,1.41,0.072,0.000305,0.000775,1.08625,3340
67.9,0.168,0.06,5.068,1.31,0.07525,0.00049,0.000815,1.24025,3286
67.9,0.172,0.099,5.096,1.19,0.072,0.000455,0.00074,1.17425,2376
67.9,0.162,0.042,4.572,1.2,0.07275,0.00038,0.000735,1.25675,2392
67.9,0.168,0.064,4.528,1.1,0.071,0.000485,0.00073,1.1275,2636
67.9,0.166,0.05,4.78,1.25,0.07,0.00043,0.00062,1.0835,2518
67.9,0.1,0.623,8.116,5,0.02,0.00158,0.002,1.4575,528
67.9,0.164,0.019,4.824,1.53,0.07225,0.0004,0.000725,1.1495,1643
67.9,0.166,0.093,4.812,1.17,0.074,0.000235,0.000705,1.13025,2344
67.9,0.172,0.483,8.052,4.06,0.07525,0.00047,0.00007,1.30625,409
67.9,0.196,0.49,0.376,5,0.00525,0.000305,0.000855,1.0835,183
67.9,0.16,0.083,4.836,1.4,0.07975,0.00044,0.000745,1.1605,5990
67.9,0.174,0.497,8.396,2.8,0.01225,0.000435,0.00028,0.275,609
67.9,0.192,0.416,8.06,0.88,0.0585,0.00152,0.000825,0.37125,1681
66.8,0.108,0.601,0,0,0.1,0.00092,0.00039,0.11275,11282
66.8,0.154,0.269,6.3,0.13,0.02475,0.001065,0.001895,0.0275,1106
66.8,0.18,0,1.584,2.03,0.0475,0.00068,0.000875,1.47125,2288
66.8,0.16,0.073,5.068,1.26,0.07425,0.000395,0.0008,1.1,11857
66.8,0.166,0.085,4.676,1.44,0.075,0.000485,0.000685,1.1275,4788
